x,density,velocity,total_energy,pressure,speed_of_sound,mach
-10.0,0.9999983175526478,0.0010335628891449586,249999.5400079205,99999.64775852887,374.1653944502836,2.7623155547654235e-06
-9.6,0.9999983175526478,0.0010335628891449586,249999.5400079205,99999.64775852887,374.1653944502836,2.7623155547654235e-06
-9.2,0.9999932220881352,0.003576071448964354,249998.53750920057,99998.73721390114,374.164644243108,9.5574809217967e-06
-8.8,0.999977170758418,0.011802382567094767,249995.24767128116,99995.81615989245,374.1621822912017,3.1543494039996934e-05
-8.4,0.9999296802357038,0.03575866810335847,249985.81685390434,99987.2949083558,374.15512435373023,9.557177164183871e-05
-8.0,0.9998009865940203,0.09948134202577681,249961.18417610883,99964.57344087969,374.13668674374935,0.0002658957155247188
-7.6,0.9994816865317568,0.2544813974713644,249902.47839992362,99909.16728640556,374.09272883997403,0.0006802628809720173
-7.199999999999999,0.9987558930007336,0.599491599195622,249774.8128421405,99785.55471108572,373.99705154232026,0.0016029313512590233
-6.8,0.9972431147214319,1.302916975864901,249521.46609637808,99533.0870334085,373.80682937585664,0.003485535505170879
-6.4,0.9943479814004292,2.6188245458521897,249062.45720420426,99060.53672963436,373.46091592908857,0.00701231222372261
-6.0,0.9892497845805693,4.883911874893658,248302.13221937235,98248.41308863104,372.8840507667122,0.013097669006897761
-5.6,0.9809628630448674,8.486864332836289,247147.54410097926,96962.89384614416,371.99792630337504,0.022814278609486136
-5.199999999999999,0.9684752774256866,13.813724612843407,245533.4576018371,95080.27269288468,370.7361689132563,0.03726025613669083
-4.8,0.9509346953356773,21.18627916117304,243444.71364465647,92514.64283043776,369.057392937864,0.05740646188529286
-4.3999999999999995,0.9278210861975996,30.814881042540595,240926.98915634127,89238.65252764402,366.95127469096576,0.08397540264301268
-4.0,0.8990476451867381,42.77922983305232,238082.88241067587,85290.07923908308,364.4365468069138,0.11738457684299611
-3.5999999999999996,0.864964064839129,57.036864343147386,235057.13701174216,80763.60978685181,361.55372994373596,0.15775487740652908
-3.1999999999999993,0.8262777872126059,73.4486946348863,232018.0612641322,75793.04217070475,358.35679887468956,0.20495967947456156
-2.8,0.7839350698585625,91.80794403889452,229141.01879588328,70531.16174750334,354.9069383949445,0.25868173908938796
-2.3999999999999995,0.739005994168541,111.86148276432145,226596.5379585163,65133.04480466017,351.26973067064006,0.3184489666979185
-2.0,0.6926034773855086,133.31663511875504,224542.52987271987,59745.60143675427,347.5158783032722,0.38362746407348763
-1.5999999999999996,0.6458482589627657,155.82934903785022,223118.3385862219,54503.63719247249,343.7253111457569,0.4533543035234048
-1.1999999999999993,0.5998765016162251,178.97084774557305,222437.916231239,49531.23502969268,339.9951103670735,0.5263924165037207
-0.7999999999999989,0.5558714068797916,202.1722673315795,222580.70072587696,44946.40294073259,336.45293462333393,0.6008931607563939
-0.3999999999999986,0.5150731694058635,224.65795632669173,223584.04856043088,40865.58589263048,333.2793602046086,0.6740830160882706
0.0,0.47867076480885845,245.4118416668123,225454.7390282221,37401.6587913955,330.7432564502583,0.7420010442562741
0.40000000000000036,0.4474482271757183,263.27840206181486,228234.79580462098,34646.280866248206,329.24632251972895,0.7996396134266277
0.8000000000000007,0.4211894381470538,277.3031139329794,232145.61948863824,32633.270939463684,329.3484206042255,0.8419749316673104
1.200000000000001,0.39835601294220674,287.17980619616253,237709.98141752116,31306.61754606547,331.70071162041467,0.8657798917380675
1.6000000000000014,0.3767161488969895,293.3970762720406,245637.25198800335,30528.523657998816,336.8292515371653,0.8710558092359373
2.0,0.35474509162408824,296.8819008782574,256404.08310969576,30129.870171198458,344.8295301769921,0.8609526589149009
2.4000000000000004,0.33258272864126076,298.4855995261612,269767.0941088127,29961.74845038078,355.1384938669383,0.8404766159705471
2.8000000000000007,0.31169469661802707,298.7248094799082,284531.8778401494,29911.921442141098,366.54007732691053,0.8149853943897133
3.200000000000001,0.2936859500652709,297.7758007140168,298747.0577476627,29886.87364546046,377.452821742329,0.7889086623845554
3.6000000000000014,0.27922758808312104,295.4458090696698,310238.7116696602,29776.226707599108,386.38449144329894,0.7646419967997753
4.0,0.2675367009419362,290.88426695784284,317113.78298263345,29408.378411922877,392.2905741621461,0.7415020551516265
4.4,0.25630841749296823,281.9792159397478,317794.5000939083,28505.428922347397,394.5902712313495,0.7146126919445069
4.800000000000001,0.24207378925504475,264.63855783326045,310591.0478226251,26683.72258857401,392.8378650523533,0.6736584768833122
5.200000000000001,0.22153187234575344,232.76900051188693,293692.6482326113,23624.33116850085,386.3898146722524,0.6024201251508886
